primary_gate_v,formal_abs_drain_current_a_per_cm,t02_c_abs_drain_current_a_per_cm,current_relative_difference,formal_center_channel_potential_v,t02_c_center_channel_potential_v,center_channel_potential_difference_v,formal_center_channel_electron_density_cm3,t02_c_center_channel_electron_density_cm3,center_density_relative_difference
-0.5,2.100900501789906e-10,2.100900501789906e-10,0.0,-0.23911894665357208,-0.23911894665357208,0.0,807306959954.4667,807306959954.4667,0.0
-0.45,4.949974025786057e-10,4.949974025786057e-10,0.0,-0.21412109486385084,-0.21412109486385084,0.0,2123150613684.0562,2123150613684.0562,0.0
-0.4,1.1753465341285547e-09,1.1753465341285547e-09,0.0,-0.1891262528706111,-0.1891262528706111,0.0,5583036541237.598,5583036541237.598,0.0
-0.35,2.814295281036621e-09,2.814295281036621e-09,0.0,-0.164138747680266,-0.164138747680266,0.0,14676861535814.092,14676861535814.092,0.0
-0.3,6.798036727842041e-09,6.798036727842041e-09,0.0,-0.13916929053575672,-0.13916929053575672,0.0,38555380994650.766,38555380994650.766,0.0
-0.25,1.656120898502756e-08,1.656120898502756e-08,0.0,-0.11424457985285207,-0.11424457985285207,0.0,101103933681695.42,101103933681695.42,0.0
-0.2,4.061372833270707e-08,4.061372833270707e-08,0.0,-0.08943120788227929,-0.08943120788227929,0.0,263962379689174.06,263962379689174.06,0.0
-0.15,9.9683793862971e-08,9.9683793862971e-08,0.0,-0.06489271154649566,-0.06489271154649566,0.0,681727707940020.2,681727707940020.2,0.0
-0.1,2.4142008492075143e-07,2.4142008492075143e-07,0.0,-0.04100932784576478,-0.04100932784576478,0.0,1715891505045579.0,1715891505045579.0,0.0
-0.05,5.603609473994763e-07,5.603609473994763e-07,0.0,-0.018549627861549674,-0.018549627861549674,0.0,4084411462863897.0,4084411462863897.0,0.0
0.0,1.1930966936239798e-06,1.1930966936239798e-06,0.0,0.001332691319669748,0.001332691319669748,0.0,8792236312879518.0,8792236312879518.0,0.0
0.05,2.2435594877850616e-06,2.2435594877850616e-06,0.0,0.017648561760206974,0.017648561760206974,0.0,1.6481049918011626e+16,1.6481049918011626e+16,0.0
0.1,3.7004285740787434e-06,3.7004285740787434e-06,0.0,0.030249531738275284,0.030249531738275284,0.0,2.676615586916425e+16,2.676615586916425e+16,0.0
0.15,5.462041732526014e-06,5.462041732526014e-06,0.0,0.039725363314865605,0.039725363314865605,0.0,3.854225028782632e+16,3.854225028782632e+16,0.0
0.2,7.4129566389148655e-06,7.4129566389148655e-06,0.0,0.04685755866596013,0.04685755866596013,0.0,5.071597384095385e+16,5.071597384095385e+16,0.0
0.25,9.462693911699367e-06,9.462693911699367e-06,0.0,0.052304628007629216,0.052304628007629216,0.0,6.254748623536028e+16,6.254748623536028e+16,0.0
0.3,1.1549445541373129e-05,1.1549445541373129e-05,0.0,0.056544883007083165,0.056544883007083165,0.0,7.36401270624011e+16,7.36401270624011e+16,0.0
0.35,1.3633155085927829e-05,1.3633155085927829e-05,0.0,0.05991023918327385,0.05991023918327385,0.0,8.382967866404534e+16,8.382967866404534e+16,0.0
0.4,1.5688469780507118e-05,1.5688469780507118e-05,0.0,0.06262985128503153,0.06262985128503153,0.0,9.30861550607405e+16,9.30861550607405e+16,0.0
0.45,1.7699657872945472e-05,1.7699657872945472e-05,0.0,0.06486366097371234,0.06486366097371234,0.0,1.0144894339019608e+17,1.0144894339019608e+17,0.0
0.5,1.9657256978320098e-05,1.9657256978320098e-05,0.0,0.066725187703265,0.066725187703265,0.0,1.0898877096719963e+17,1.0898877096719963e+17,0.0
0.55,2.155591042715182e-05,2.155591042715182e-05,0.0,0.0682964942120616,0.0682964942120616,0.0,1.1578688929258678e+17,1.1578688929258678e+17,0.0
0.6,2.3392967118617238e-05,2.3392967118617238e-05,0.0,0.06963798865793097,0.06963798865793097,0.0,1.2192435109110224e+17,1.2192435109110224e+17,0.0
0.65,2.5167565654034624e-05,2.5167565654034624e-05,0.0,0.07079490921126312,0.07079490921126312,0.0,1.274769258296556e+17,1.274769258296556e+17,0.0
0.7,2.6880027442442047e-05,2.6880027442442047e-05,0.0,0.07180167864808575,0.07180167864808575,0.0,1.3251305666177562e+17,1.3251305666177562e+17,0.0
0.75,2.8531449490519663e-05,2.8531449490519663e-05,0.0,0.07268487779972853,0.07268487779972853,0.0,1.3709339733937157e+17,1.3709339733937157e+17,0.0
0.8,3.012342820263873e-05,3.012342820263873e-05,0.0,0.07346531051699728,0.07346531051699728,0.0,1.4127112492585208e+17,1.4127112492585208e+17,0.0
0.85,3.165787043737322e-05,3.165787043737322e-05,0.0,0.07415946144285523,0.07415946144285523,0.0,1.4509259459244374e+17,1.4509259459244374e+17,0.0
0.9,3.313686350180507e-05,3.313686350180507e-05,0.0,0.07478054131688958,0.07478054131688958,0.0,1.4859810845960803e+17,1.4859810845960803e+17,0.0
0.95,3.456258546147611e-05,3.456258546147611e-05,0.0,0.07533924759837274,0.07533924759837274,0.0,1.518226833779193e+17,1.518226833779193e+17,0.0
1.0,3.593724333278673e-05,3.593724333278673e-05,0.0,0.07584432558886496,0.07584432558886496,0.0,1.5479676378982486e+17,1.5479676378982486e+17,0.0
