bulk_family_id,bulk_value_cm3_ev,nta_cm3_ev,nga_cm3_ev,is_zero_control,inactive_family_id,family_id,primary_gate,secondary_gate,sweep_direction,sweep_index,mesh_level,stage_id,mode_id,primary_gate_v,fixed_secondary_gate_v,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,0,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.5,0.0,0.0,-0.5,0.01,-2.1009005017869447e-10,2.100900501789906e-10,-1.2605403010721668e-12,1.2605403010739435e-12,2.961306592939839e-22,1.4095415705869421e-12,-0.23911894665357208,807306959954.4667,0.044307740001386264,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,1,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.45,0.0,0.0,-0.45,0.01,-4.949974025749092e-10,4.949974025786057e-10,-2.969984415449455e-12,2.9699844154716346e-12,3.6965667599229116e-21,7.46785082238062e-12,-0.21412109486385084,2123150613684.0562,0.04408934700040845,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,2,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.4,0.0,0.0,-0.4,0.01,-1.175346534127531e-09,1.1753465341285547e-09,-7.052079204765187e-12,7.052079204771329e-12,1.0236360080343717e-21,8.709227264564431e-13,-0.1891262528706111,5583036541237.598,0.044650218998867786,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,3,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.35,0.0,0.0,-0.35,0.01,-2.81429528103251e-09,2.814295281036621e-09,-1.688577168619506e-11,1.6885771686219725e-11,4.110674054082271e-21,1.4606406377400955e-12,-0.164138747680266,14676861535814.092,0.04435888499938301,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,4,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.3,0.0,0.0,-0.3,0.01,-6.79803672784744e-09,6.798036727842041e-09,-4.078822036708464e-11,4.078822036705225e-11,-5.399007858133612e-21,7.942010427830062e-13,-0.13916929053575672,38555380994650.766,0.04355585599842016,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,5,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.25,0.0,0.0,-0.25,0.01,-1.6561208985024152e-08,1.656120898502756e-08,-9.936725391014491e-11,9.936725391016536e-11,3.407984123718474e-21,2.0578111940979185e-13,-0.11424457985285207,101103933681695.42,0.04497361500034458,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,6,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.2,0.0,0.0,-0.2,0.01,-4.061372833270638e-08,4.061372833270707e-08,-2.436823699962383e-10,2.436823699962424e-10,6.948317145445432e-22,1.710829670333371e-14,-0.08943120788227929,263962379689174.06,0.04409576200123411,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,7,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.15,0.0,0.0,-0.15,0.01,-9.968379386297732e-08,9.9683793862971e-08,-5.98102763177864e-10,5.98102763177826e-10,-6.326277324805556e-21,6.346344856719124e-14,-0.06489271154649566,681727707940020.2,0.04519956500007538,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,8,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.1,0.0,0.0,-0.1,0.01,-2.4142008492076154e-07,2.4142008492075143e-07,-1.4485205095245693e-09,1.4485205095245085e-09,-1.011145580784821e-20,4.188324186517859e-14,-0.04100932784576478,1715891505045579.0,0.04461990399795468,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,9,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.05,0.0,0.0,-0.05,0.01,-5.603609473994756e-07,5.603609473994763e-07,-3.3621656843968537e-09,3.362165684396858e-09,6.352747104407253e-22,1.1336884081392696e-15,-0.018549627861549674,4084411462863897.0,0.04370444199958001,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,10,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.0,0.0,0.0,0.0,0.01,-1.1930966936239762e-06,1.1930966936239798e-06,-7.158580161743857e-09,7.1585801617438785e-09,3.5998900258307764e-21,3.017265947570658e-15,0.001332691319669748,8792236312879518.0,0.04435800200008089,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,11,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.05,0.0,0.0,0.05,0.01,-2.243559487785063e-06,2.2435594877850616e-06,-1.3461356926710377e-08,1.346135692671037e-08,-1.2705494208814505e-21,5.663096645303534e-16,0.017648561760206974,1.6481049918011626e+16,0.04441258099905099,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,12,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.1,0.0,0.0,0.1,0.01,-3.700428574078767e-06,3.7004285740787434e-06,-2.2202571444472604e-08,2.2202571444472462e-08,-2.371692252312041e-20,6.409236673085849e-15,0.030249531738275284,2.676615586916425e+16,0.0459859510010574,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,13,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.15,0.0,0.0,0.15,0.01,-5.462041732526001e-06,5.462041732526014e-06,-3.277225039515601e-08,3.277225039515609e-08,1.2705494208814505e-20,2.326143744591756e-15,0.039725363314865605,3.854225028782632e+16,0.044304928997007664,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,14,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.2,0.0,0.0,0.2,0.01,-7.412956638914972e-06,7.4129566389148655e-06,-4.447773983348983e-08,4.447773983348919e-08,-1.0672615135404184e-19,1.4397244790799592e-14,0.04685755866596013,5.071597384095385e+16,0.04256258299938054,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,15,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.25,0.0,0.0,0.25,0.01,-9.462693911699197e-06,9.462693911699367e-06,-5.677616347019518e-08,5.67761634701962e-08,1.6940658945086007e-19,1.7902575210787624e-14,0.052304628007629216,6.254748623536028e+16,0.04294304099676083,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,16,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.3,0.0,0.0,0.3,0.01,-1.1549445541373153e-05,1.1549445541373129e-05,-6.929667324823892e-08,6.929667324823877e-08,-2.371692252312041e-20,2.053511784454081e-15,0.056544883007083165,7.36401270624011e+16,0.04322274399964954,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,17,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.35,0.0,0.0,0.35,0.01,-1.3633155085927868e-05,1.3633155085927829e-05,-8.179893051556721e-08,8.179893051556697e-08,-3.8963515573697816e-20,2.8579969440761315e-15,0.05991023918327385,8.382967866404534e+16,0.04834960400330601,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,18,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.4,0.0,0.0,0.4,0.01,-1.5688469780507097e-05,1.5688469780507118e-05,-9.413081868304259e-08,9.413081868304271e-08,2.0328790734103208e-20,1.2957790669528316e-15,0.06262985128503153,9.30861550607405e+16,0.043674136002664454,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,19,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.45,0.0,0.0,0.45,0.01,-1.7699657872945354e-05,1.7699657872945472e-05,-1.0619794723767213e-07,1.0619794723767284e-07,1.1858461261560205e-19,6.699825130341228e-15,0.06486366097371234,1.0144894339019608e+17,0.04424638399723335,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,20,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.5,0.0,0.0,0.5,0.01,-1.965725697832039e-05,1.9657256978320098e-05,-1.1794354186992233e-07,1.1794354186992059e-07,-2.913793338554793e-19,1.4822990520846118e-14,0.066725187703265,1.0898877096719963e+17,0.03672078499948839,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,21,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.55,0.0,0.0,0.55,0.01,-2.155591042715199e-05,2.155591042715182e-05,-1.2933546256291194e-07,1.293354625629109e-07,-1.6940658945086007e-19,7.858939200149684e-15,0.0682964942120616,1.1578688929258678e+17,0.036808808999921894,True
